Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,TeamName,Year
SV Samson,13,13,0,339,74,26.07,273,124.17,0,2,0,25,17,Rajasthan Royals,2014
Sandeep Sharma,11,1,1,2,2,0,5,40.00,0,0,0,0,0,Kings XI Punjab,2014
K Santokie,2,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2014
V Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,0,56,18,Kings XI Punjab,2014
V Shankar,1,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2014
Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,1,22,7,Kolkata Knight Riders,2014
I Sharma,3,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2014
KV Sharma,14,8,4,42,17,10.50,29,144.82,0,0,1,1,3,Sunrisers Hyderabad,2014
MM Sharma,16,1,1,1,1,0,3,33.33,0,0,0,0,0,Chennai Super Kings,2014
R Sharma,2,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2014
RG Sharma,15,15,2,390,59,30.00,302,129.13,0,3,0,31,16,Mumbai Indians,2014
Shivam Sharma,4,2,1,5,4,5.00,3,166.66,0,0,0,1,0,Kings XI Punjab,2014
LR Shukla,5,3,0,31,21,10.33,38,81.57,0,0,1,2,1,Delhi Daredevils,2014
R Shukla,3,3,2,18,14,18.00,21,85.71,0,0,0,2,0,Delhi Daredevils,2014
LMP Simmons,8,8,1,394,100,56.28,291,135.39,1,3,0,43,14,Mumbai Indians,2014
DR Smith,16,16,0,566,79,35.37,416,136.05,0,5,0,50,34,Chennai Super Kings,2014
SPD Smith,10,7,3,147,48,36.75,110,133.63,0,0,0,13,4,Rajasthan Royals,2014
TG Southee,3,1,0,4,4,4.00,4,100.00,0,0,0,1,0,Rajasthan Royals,2014
MA Starc,14,9,3,85,29,14.16,84,101.19,0,0,0,9,0,Royal Challengers Bangalore,2014
DW Steyn,14,4,1,22,12,7.33,26,84.61,0,0,0,1,0,Sunrisers Hyderabad,2014
P Suyal,1,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2014
YV Takawale,5,5,0,104,45,20.80,91,114.28,0,0,2,17,1,Royal Challengers Bangalore,2014
PV Tambe,13,2,0,5,3,2.50,9,55.55,0,0,0,0,0,Rajasthan Royals,2014
AP Tare,15,12,4,126,24,15.75,98,128.57,0,0,1,16,3,Mumbai Indians,2014
LRPL Taylor,4,4,1,59,43,19.66,59,100.00,0,0,0,6,0,Delhi Daredevils,2014
RN ten Doeschate,10,7,3,52,25,13.00,33,157.57,0,0,2,3,4,Kolkata Knight Riders,2014
R Tewatia,3,1,0,16,16,16.00,13,123.07,0,0,0,0,1,Rajasthan Royals,2014
MK Tiwary,8,8,3,152,61,30.40,118,128.81,0,1,1,14,4,Delhi Daredevils,2014
JD Unadkat,9,2,1,1,1,1.00,6,16.66,0,0,1,0,0,Delhi Daredevils,2014
RV Uthappa,16,16,1,660,83,44.00,479,137.78,0,5,1,74,18,Kolkata Knight Riders,2014
Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0,Sunrisers Hyderabad,2014
M Vijay,11,11,0,207,52,18.81,192,107.81,0,1,1,20,5,Delhi Daredevils,2014
R Vinay Kumar,9,4,2,4,4,2.00,6,66.66,0,0,1,0,0,Kolkata Knight Riders,2014
M Vohra,8,8,0,324,67,40.50,233,139.05,0,1,0,27,16,Kings XI Punjab,2014
DA Warner,14,14,3,528,90,48.00,375,140.80,0,6,1,39,24,Sunrisers Hyderabad,2014
SR Watson,13,13,1,240,51,20.00,196,122.44,0,2,1,19,14,Rajasthan Royals,2014
SA Yadav,16,10,5,164,34,32.80,117,140.17,0,0,0,16,5,Kolkata Knight Riders,2014
UT Yadav,12,1,0,2,2,2.00,4,50.00,0,0,0,0,0,Kolkata Knight Riders,2014
DH Yagnik,1,1,1,4,4,0,6,66.66,0,0,0,0,0,Rajasthan Royals,2014
Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28,Royal Challengers Bangalore,2014
VH Zol,3,2,0,29,16,14.50,26,111.53,0,0,0,3,1,Royal Challengers Bangalore,2014
VR Aaron,6,1,0,6,6,6.00,3,200.00,0,0,0,0,1,Royal Challengers Bangalore,2015
SA Abbott,2,2,0,15,14,7.50,13,115.38,0,0,0,1,1,Royal Challengers Bangalore,2015
MA Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,1,23,7,Delhi Daredevils,2015
AN Ahmed,3,3,2,10,5,10.00,5,200.00,0,0,0,2,0,Royal Challengers Bangalore,2015
CJ Anderson,4,4,1,114,55,38.00,97,117.52,0,2,0,11,6,Mumbai Indians,2015
Ankit Sharma,4,2,1,7,7,7.00,6,116.66,0,0,1,1,0,Rajasthan Royals,2015
Anureet Singh,14,6,3,18,10,6.00,31,58.06,0,0,2,0,1,Kings XI Punjab,2015
S Aravind,5,1,1,0,0,0,1,0.00,0,0,0,0,0,Royal Challengers Bangalore,2015
A Ashish Reddy,6,5,2,73,22,24.33,46,158.69,0,0,0,3,5,Sunrisers Hyderabad,2015
R Ashwin,14,6,3,52,23,17.33,32,162.50,0,0,0,6,1,Chennai Super Kings,2015
Azhar Mahmood,1,1,0,6,6,6.00,7,85.71,0,0,0,1,0,Kolkata Knight Riders,2015
GJ Bailey,13,13,2,259,61,23.54,190,136.31,0,2,0,22,7,Kings XI Punjab,2015
R Bhatia,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Rajasthan Royals,2015
STR Binny,13,8,4,74,20,18.50,66,112.12,0,0,1,7,1,Rajasthan Royals,2015
Bipul Sharma,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0,Sunrisers Hyderabad,2015
MS Bisla,2,2,0,37,20,18.50,30,123.33,0,0,0,6,1,Royal Challengers Bangalore,2015
RS Bopara,9,8,3,145,41,29.00,120,120.83,0,0,1,6,6,Sunrisers Hyderabad,2015
J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1,Kolkata Knight Riders,2015
TA Boult,7,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2015
DJ Bravo,17,14,5,195,62,21.66,148,131.75,0,1,1,22,5,Chennai Super Kings,2015
JJ Bumrah,4,1,1,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2015
KC Cariappa,1,0,0,0,0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,2015
YS Chahal,15,2,2,1,1,0,1,100.00,0,0,0,0,0,Royal Challengers Bangalore,2015
UBT Chand,6,5,0,102,58,20.40,83,122.89,0,1,0,13,2,Mumbai Indians,2015
PP Chawla,13,8,4,54,22,13.50,47,114.89,0,0,2,5,2,Kolkata Knight Riders,2015
NM Coulter-Nile,11,5,1,20,6,5.00,18,111.11,0,0,0,2,1,Delhi Daredevils,2015
PJ Cummins,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Kolkata Knight Riders,2015
Q de Kock,3,3,0,122,69,40.66,77,158.44,0,2,0,18,4,Delhi Daredevils,2015
M de Lange,1,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2015
AB de Villiers,16,14,3,513,133,46.63,293,175.08,1,2,1,60,22,Royal Challengers Bangalore,2015
R Dhawan,5,5,3,36,25,18.00,33,109.09,0,0,0,2,2,Kings XI Punjab,2015
S Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,0,45,6,Sunrisers Hyderabad,2015
MS Dhoni,17,17,5,372,53,31.00,305,121.96,0,1,1,27,17,Chennai Super Kings,2015
AB Dinda,2,0,0,0,0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,2015
JP Duminy,14,13,3,414,78,41.40,315,131.42,0,4,0,27,20,Delhi Daredevils,2015
F du Plessis,17,15,2,380,55,29.23,304,125.00,0,1,0,37,5,Chennai Super Kings,2015
JP Faulkner,13,11,3,144,46,18.00,109,132.11,0,0,0,12,5,Rajasthan Royals,2015
AJ Finch,3,3,1,23,10,11.50,33,69.69,0,0,0,4,0,Mumbai Indians,2015
G Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,1,41,4,Kolkata Knight Riders,2015
CM Gautam,1,1,0,4,4,4.00,5,80.00,0,0,0,0,0,Delhi Daredevils,2015
CH Gayle,14,14,2,491,117,40.91,333,147.44,1,2,0,39,38,Royal Challengers Bangalore,2015
S Gopal,1,1,1,1,1,0,1,100.00,0,0,0,0,0,Mumbai Indians,2015
Gurkeerat Singh,5,5,0,35,15,7.00,39,89.74,0,0,0,3,1,Kings XI Punjab,2015
Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,2,9,9,Mumbai Indians,2015
BE Hendricks,4,2,2,1,1,0,2,50.00,0,0,0,0,0,Kings XI Punjab,2015
MC Henriques,9,9,2,287,74,41.00,211,136.01,0,2,0,19,13,Sunrisers Hyderabad,2015
GB Hogg,6,2,1,7,5,7.00,6,116.66,0,0,0,0,0,Kolkata Knight Riders,2015
DJ Hooda,14,9,0,151,54,16.77,95,158.94,0,1,0,6,11,Rajasthan Royals,2015
MEK Hussey,4,4,0,77,56,19.25,70,110.00,0,1,0,5,3,Chennai Super Kings,2015
Imran Tahir,10,2,1,5,3,5.00,6,83.33,0,0,0,0,0,Delhi Daredevils,2015
Iqbal Abdulla,5,2,0,20,20,10.00,18,111.11,0,0,1,4,0,Royal Challengers Bangalore,2015
SS Iyer,14,14,1,439,83,33.76,342,128.36,0,4,2,41,21,Delhi Daredevils,2015
RA Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,1,7,3,Chennai Super Kings,2015
KM Jadhav,14,12,4,189,63,23.62,140,135.00,0,1,1,16,7,Delhi Daredevils,2015
MG Johnson,9,8,4,31,13,7.75,36,86.11,0,0,1,1,1,Kings XI Punjab,2015
Karanveer Singh,4,3,2,11,5,11.00,16,68.75,0,0,0,1,0,Kings XI Punjab,2015
KD Karthik,16,11,0,141,28,12.81,117,120.51,0,0,0,15,4,Royal Challengers Bangalore,2015
SN Khan,13,8,4,111,45,27.75,71,156.33,0,0,0,12,2,Royal Challengers Bangalore,2015
Z Khan,7,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2015
V Kohli,16,16,5,505,82,45.90,386,130.82,0,3,0,35,23,Royal Challengers Bangalore,2015
DS Kulkarni,11,2,0,4,3,2.00,11,36.36,0,0,0,0,0,Rajasthan Royals,2015
B Kumar,14,3,2,17,11,17.00,10,170.00,0,0,1,2,1,Sunrisers Hyderabad,2015
P Kumar,12,4,1,17,12,5.66,25,68.00,0,0,1,1,0,Sunrisers Hyderabad,2015
MJ McClenaghan,12,3,2,13,12,13.00,6,216.66,0,0,1,0,2,Mumbai Indians,2015
BB McCullum,14,14,1,436,100,33.53,280,155.71,1,2,0,51,23,Chennai Super Kings,2015
NJ Maddinson,1,1,0,4,4,4.00,7,57.14,0,0,0,1,0,Royal Challengers Bangalore,2015
SL Malinga,15,1,1,6,6,0,10,60.00,0,0,0,1,0,Mumbai Indians,2015
Mandeep Singh,14,9,2,157,54,22.42,100,157.00,0,1,2,17,6,Royal Challengers Bangalore,2015
SE Marsh,4,4,0,81,65,20.25,58,139.65,0,1,0,7,3,Kings XI Punjab,2015
AD Mathews,11,10,3,144,28,20.57,104,138.46,0,0,1,12,6,Delhi Daredevils,2015
GJ Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,0,13,8,Kings XI Punjab,2015
DA Miller,13,13,2,357,89,32.45,266,134.21,0,2,0,21,21,Kings XI Punjab,2015
A Mishra,12,4,2,8,4,4.00,12,66.66,0,0,0,0,0,Delhi Daredevils,2015
RG More,2,1,1,2,2,0,2,100.00,0,0,0,0,0,Chennai Super Kings,2015
EJG Morgan,9,9,1,187,63,23.37,151,123.84,0,1,0,11,11,Sunrisers Hyderabad,2015
JA Morkel,4,3,2,86,73,86.00,65,132.30,0,1,0,9,2,Delhi Daredevils,2015
M Morkel,7,1,1,4,4,0,3,133.33,0,0,0,0,0,Kolkata Knight Riders,2015
CH Morris,11,7,5,76,34,38.00,46,165.21,0,0,1,3,5,Rajasthan Royals,2015
DJ Muthuswami,6,2,1,1,1,1.00,3,33.33,0,0,0,0,0,Delhi Daredevils,2015
S Nadeem,4,1,0,2,2,2.00,7,28.57,0,0,0,0,0,Delhi Daredevils,2015
KK Nair,14,12,1,181,61,16.45,145,124.82,0,1,0,18,5,Rajasthan Royals,2015
SP Narine,8,1,1,0,0,0,1,0.00,0,0,0,0,0,Kolkata Knight Riders,2015
P Negi,10,9,1,116,36,14.50,73,158.90,0,0,0,10,5,Chennai Super Kings,2015
A Nehra,16,4,3,1,1,1.00,7,14.28,0,0,1,0,0,Chennai Super Kings,2015
NV Ojha,14,11,1,137,28,13.70,121,113.22,0,0,2,12,4,Sunrisers Hyderabad,2015
PP Ojha,1,0,0,0,0,0,0,0,0,0,0,0,0,Mumbai Indians,2015
IC Pandey,10,0,0,0,0,0,0,0,0,0,0,0,0,Chennai Super Kings,2015
MK Pandey,13,12,1,225,40,20.45,184,122.28,0,0,1,22,7,Kolkata Knight Riders,2015
HH Pandya,9,8,3,112,61,22.40,62,180.64,0,1,2,9,8,Mumbai Indians,2015
Parvez Rasool,2,1,1,2,2,0,2,100.00,0,0,0,0,0,Sunrisers Hyderabad,2015
AR Patel,14,12,3,206,40,22.88,174,118.39,0,0,1,13,8,Kings XI Punjab,2015
HV Patel,15,7,2,19,9,3.80,12,158.33,0,0,2,0,2,Royal Challengers Bangalore,2015
PA Patel,14,14,1,339,59,26.07,246,137.80,0,2,2,47,5,Mumbai Indians,2015
YK Pathan,13,12,5,312,52,44.57,231,135.06,0,1,0,29,12,Kolkata Knight Riders,2015
NLTC Perera,2,2,0,12,9,6.00,15,80.00,0,0,0,0,1,Kings XI Punjab,2015
KA Pollard,16,14,3,419,70,38.09,256,163.67,0,2,0,28,28,Mumbai Indians,2015
AM Rahane,14,13,2,540,91,49.09,413,130.75,0,4,1,53,13,Rajasthan Royals,2015
KL Rahul,9,8,3,142,44,28.40,126,112.69,0,0,0,8,5,Sunrisers Hyderabad,2015
SK Raina,17,17,2,374,62,24.93,305,122.62,0,2,1,31,16,Chennai Super Kings,2015
AT Rayudu,15,14,5,281,53,31.22,193,145.59,0,1,2,18,16,Mumbai Indians,2015
RR Rossouw,2,2,0,14,14,7.00,10,140.00,0,0,1,1,1,Royal Challengers Bangalore,2015
AD Russell,13,11,2,326,66,36.22,169,192.89,0,3,0,35,19,Kolkata Knight Riders,2015
WP Saha,14,13,0,249,42,19.15,197,126.39,0,0,0,16,10,Kings XI Punjab,2015
DJG Sammy,2,2,0,13,7,6.50,18,72.22,0,0,0,0,0,Royal Challengers Bangalore,2015
SV Samson,14,11,1,204,76,20.40,163,125.15,0,1,0,16,8,Rajasthan Royals,2015
Sandeep Sharma,14,3,2,9,7,9.00,14,64.28,0,0,0,1,0,Kings XI Punjab,2015
GS Sandhu,3,0,0,0,0,0,0,0,0,0,0,0,0,Delhi Daredevils,2015
V Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,1,12,3,Kings XI Punjab,2015
Shakib Al Hasan,4,3,0,36,23,12.00,27,133.33,0,0,1,5,0,Kolkata Knight Riders,2015
I Sharma,4,0,0,0,0,0,0,0,0,0,0,0,0,Sunrisers Hyderabad,2015
KV Sharma,14,9,3,104,32,17.33,85,122.35,0,0,0,3,6,Sunrisers Hyderabad,2015
MM Sharma,16,6,3,28,21,9.33,18,155.55,0,0,2,1,2,Chennai Super Kings,2015
RG Sharma,16,16,2,482,98,34.42,333,144.74,0,3,2,41,21,Mumbai Indians,2015
Shivam Sharma,1,0,0,0,0,0,0,0,0,0,0,0,0,Kings XI Punjab,2015
LMP Simmons,13,13,1,540,71,45.00,441,122.44,0,6,1,56,21,Mumbai Indians,2015
DR Smith,16,16,0,399,62,24.93,335,119.10,0,2,3,52,16,Chennai Super Kings,2015
SPD Smith,14,12,1,293,79,26.63,221,132.57,0,2,1,33,3,Rajasthan Royals,2015
TG Southee,7,3,2,13,7,13.00,9,144.44,0,0,0,1,0,Rajasthan Royals,2015
BB Sran,1,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan Royals,2015
MA Starc,13,3,2,11,9,11.00,14,78.57,0,0,0,1,0,Royal Challengers Bangalore,2015
